review_date,cocoa_percent_min,cocoa_percent_max,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,70,70,70,80,73,,70,70,
,,,,,,,,,70,68,70,70,73,,70,80,
,,,,,,,,,70,75,75,70,70,,72,70,
,,,,,,,,,70,70,70,75,70,,70,70,
,,,,,,,,,62,64,70,70,70,,72,70,
,,,,,,,,,70,90,73.5,70,67,,72,70,
,,,,,,,,,72,75,72,70,70,,72,70,
,,,,,,,,,65,89,75,70,70,,78,70,
,,,,,,,,,70,75,75,70,70,,73,70,
,,,,,,,,,58,75,75,80,85,,71,70,
,,,,,,,,,90,70,74,72,68,,72,74,
,,,,,,,,,68,70,88,72,70,,70,75,
,,,,,,,,,70,66,70,72,75,,72,70,
,,,,,,,,,75,,66,72,70,,75,75,
,,,,,,,,,75,,66,70,70,,70,75,
,,,,,,,,,,,70,70,75,,75,75,
,,,,,,,,,,,80,70,62,,75,70,
,,,,,,,,,,,68,70,70,,72,72,
,,,,,,,,,,,70,70,70,,70,77,
,,,,,,,,,,,70,70,70,,72,77,
,,,,,,,,,,,70,75,70,,72,72,
,,,,,,,,,,,70,70,70,,72,70,
,,,,,,,,,,,78,70,70,,72,71,
,,,,,,,,,,,70,70,71,,70,70,
,,,,,,,,,,,75,72,61,,75,70,
,,,,,,,,,,,72,72,60,,70,70,
,,,,,,,,,,,75,70,70,,70,68,
,,,,,,,,,,,65,70,70,,70,70,
,,,,,,,,,,,70,70,62,,66,75,
,,,,,,,,,,,70,82,72,,70,65,
,,,,,,,,,,,64,70,60,,70,,
,,,,,,,,,,,73,80,72,,70,,
,,,,,,,,,,,73,80,72,,70,,
,,,,,,,,,,,73,80,70,,75,,
,,,,,,,,,,,73,80,70,,70,,
,,,,,,,,,,,73,62,70,,70,,
,,,,,,,,,,,70,75,70,,75,,
,,,,,,,,,,,72,70,70,,70,,
,,,,,,,,,,,75,74,70,,70,,
,,,,,,,,,,,75,80,75,,70,,
,,,,,,,,,,,85,75,76,,70,,
,,,,,,,,,,,80,73,74,,70,,
,,,,,,,,,,,72,80,70,,70,,
,,,,,,,,,,,75,70,70,,70,,
,,,,,,,,,,,67,85,78,,73,,
,,,,,,,,,,,73,70,85,,70,,
,,,,,,,,,,,73,70,70,,70,,
,,,,,,,,,,,70,75,85,,70,,
,,,,,,,,,,,70,70,78,,70,,
,,,,,,,,,,,70,70,65,,70,,
,,,,,,,,,,,70,73,,,70,,
,,,,,,,,,,,80,74,,,68,,
,,,,,,,,,,,70,72,,,72,,
,,,,,,,,,,,70,77,,,70,,
,,,,,,,,,,,70,70,,,75,,
,,,,,,,,,,,70,82,,,72,,
,,,,,,,,,,,72,73,,,68,,
,,,,,,,,,,,84,73,,,72,,
,,,,,,,,,,,70,100,,,70,,
,,,,,,,,,,,70,100,,,75,,
,,,,,,,,,,,70,73,,,,,
,,,,,,,,,,,68,72,,,,,
,,,,,,,,,,,67,70,,,,,
,,,,,,,,,,,73,72,,,,,
,,,,,,,,,,,77,67,,,,,
,,,,,,,,,,,81,70,,,,,
,,,,,,,,,,,72,70,,,,,
,,,,,,,,,,,75,70,,,,,
,,,,,,,,,,,70,65,,,,,
,,,,,,,,,,,74,65,,,,,
,,,,,,,,,,,65,67,,,,,
,,,,,,,,,,,75,72,,,,,
,,,,,,,,,,,75,72,,,,,
,,,,,,,,,,,90,75,,,,,
,,,,,,,,,,,75,70,,,,,
,,,,,,,,,,,88,70,,,,,
,,,,,,,,,,,70,70,,,,,
,,,,,,,,,,,80,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,88,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,62,,,,,
,,,,,,,,,,,,60,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,77,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,75,,,,,
,,,,,,,,,,,,75,,,,,
,,,,,,,,,,,,63,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,77,,,,,
,,,,,,,,,,,,77,,,,,
,,,,,,,,,,,,77,,,,,
,,,,,,,,,,,,77,,,,,
,,,,,,,,,,,,77,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,70,,,,,
,,,,,,,,,,,,60,,,,,
